GeneID,RTproportion,sampleType
ENSG00000139726.11,2.633211338,control
ENSG00000141428.17,5.244419244,control
ENSG00000142166.13,27.01544472,control
ENSG00000143337.19,19.30631988,control
ENSG00000143727.16,1.041597185,control
ENSG00000143924.19,1.323559137,control
ENSG00000144852.20,7.976813843,control
ENSG00000145916.19,6.918934871,control
ENSG00000148843.15,4.107492681,control
ENSG00000149657.20,8.796338885,control
ENSG00000149925.22,0.09036553,control
ENSG00000151014.6,22.73875793,control
ENSG00000152256.14,34.89149682,control
ENSG00000152455.16,40.16371375,control
ENSG00000153044.10,17.22297168,control
ENSG00000153551.14,8.281993904,control
ENSG00000155115.7,6.84903284,control
ENSG00000155463.14,0.657339622,control
ENSG00000155827.12,2.953487092,control
ENSG00000156110.15,16.50330817,control
ENSG00000158882.15,3.634659802,control
ENSG00000162607.13,3.861643666,control
ENSG00000163938.17,1.246742648,control
ENSG00000164056.11,3.485175795,control
ENSG00000164406.8,9.91313244,control
ENSG00000164975.15,40.17641592,control
ENSG00000165304.8,27.901982,control
ENSG00000166037.11,10.41254745,control
ENSG00000167258.15,2.115248341,control
ENSG00000168116.14,19.19861544,control
ENSG00000168872.17,6.459529718,control
ENSG00000168876.9,6.954047396,control
ENSG00000169251.13,13.40333996,control
ENSG00000169299.14,32.32629805,control
ENSG00000170364.12,32.73764438,control
ENSG00000170632.14,10.62840001,control
ENSG00000171109.19,3.654502287,control
ENSG00000171234.14,34.84315984,control
ENSG00000173744.18,5.445426319,control
ENSG00000173890.17,16.20399346,control
ENSG00000175115.13,11.54105034,control
ENSG00000176890.16,0.728081875,control
ENSG00000178057.15,1.57485715,control
ENSG00000180210.15,9.94521664,control
ENSG00000180346.4,10.29194653,control
ENSG00000184661.14,49.40844651,control
ENSG00000186204.15,23.04365707,control
ENSG00000188811.14,10.53989241,control
ENSG00000196422.11,7.014742618,control
ENSG00000196646.12,16.78187033,control
ENSG00000197157.11,1.733781188,control
ENSG00000198429.10,23.36991297,control
ENSG00000198839.10,17.6556648,control
ENSG00000198863.7,18.07521637,control
ENSG00000204685.7,19.70881907,control
ENSG00000205138.4,5.898443647,control
ENSG00000206557.6,12.22926354,control
ENSG00000225439.3,5.114959085,control
ENSG00000234171.3,5.898525391,control
ENSG00000236255.2,10.77380819,control
ENSG00000241258.7,22.97479862,control
ENSG00000254783.1,26.00893848,control
ENSG00000257702.3,10.24660433,control
