index,adipose-subcutaneous,adipose-visceral,artery-aorta,artery-coronary,artery-tibial,brain-cerebellum,brain-cortex,breast-mammary-tissue,colon-sigmoid,esophagus-gastroesophageal-junction,esophagus-mucosa,esophagus-muscularis,heart-atrial-appendage,heart-left-ventricle,liver,lung,muscle-skeletal,nerve-tibial,pituitary,skin-not-sun-exposed,skin-sun-exposed,testis,thyroid
esophagus-mucosa,53.86695511087074,56.372549019607845,57.92642140468227,56.666666666666664,55.17867958812841,34.127294025771185,44.39701173959445,55.183084063950496,57.61904761904761,58.90663390663391,100.0,59.73367152821814,64.58157227387996,68.13304721030042,54.25531914893617,48.284734133790735,54.58845789971618,47.8584729981378,43.773427738442315,56.586690810321414,58.98959881129272,28.90979883192732,50.04528985507246
esophagus-muscularis,64.08869659275284,63.834422657952075,71.37123745819397,70.46783625730994,69.65475469412478,39.43771964076533,51.22732123799359,61.113976276431146,79.22619047619047,84.76658476658476,61.811023622047244,100.0,76.5004226542688,80.47210300429185,53.0278232405892,53.34476843910806,62.819299905392626,58.84543761638734,50.104123281965855,51.471253961068356,53.14512134720159,31.375730045425048,56.25
heart-atrial-appendage,49.97295835586804,52.069716775599126,57.123745819397996,54.97076023391813,53.84615384615385,27.996876220226476,38.58057630736393,48.47859721505931,53.86904761904761,56.94103194103194,50.13123359580053,57.38744451490171,100.0,83.04721030042919,46.39934533551555,41.1663807890223,60.17029328287607,43.66852886405959,37.27613494377343,39.88229968311453,41.75334323922734,23.491239454899414,42.391304347826086
heart-left-ventricle,40.12979989183342,41.93899782135077,45.48494983277592,43.684210526315795,42.64082374318595,22.95978133541585,33.778014941302025,39.09231562661166,44.52380952380952,46.253071253071255,41.66666666666667,47.558655675332915,65.42688081149619,100.0,41.1620294599018,33.147512864494,55.723746452223274,34.543761638733706,30.27905039566847,32.4128564961521,33.82862803368004,19.565217391304348,34.42028985507246
liver,38.18280151433207,40.631808278867105,40.13377926421405,39.707602339181285,38.098122350090854,24.873096446700508,32.817502668089645,38.93759669932955,40.11904761904762,40.6019656019656,43.503937007874015,41.09067850348763,47.928994082840234,53.96995708154506,100.0,33.19039451114923,45.22232734153264,34.497206703910614,32.528113286130775,33.00135808057944,34.67062902426944,21.155094094743674,36.05072463768116
lung,77.66360194699837,80.3921568627451,79.06354515050167,79.2982456140351,76.62023016353726,47.55954705193284,56.24332977588047,75.76070139247034,76.72619047619048,79.72972972972973,73.88451443569554,78.88395688015218,81.14961961115807,82.93991416309014,63.338788870703766,100.0,66.3197729422895,69.73929236499069,59.058725531028735,66.27433227704844,67.31054977711739,37.41077222582738,69.97282608695652
muscle-skeletal,37.80421849648459,38.0718954248366,41.1371237458194,38.771929824561404,41.36886735311932,25.8102303787583,33.51120597652081,36.101083032490976,40.595238095238095,41.891891891891895,37.86089238845145,42.10526315789473,53.76162299239222,63.19742489270386,39.11620294599018,30.060034305317323,100.0,34.07821229050279,29.529362765514367,31.779085559076503,33.48192174343734,19.792342634652822,31.88405797101449
nerve-tibial,78.58301784748512,75.0,78.06020066889631,78.65497076023392,78.31617201695941,50.01952362358454,59.12486659551761,74.83238782877773,79.58333333333333,80.83538083538083,67.45406824146981,80.15218769816107,79.28994082840237,79.6137339055794,60.63829787234043,64.23670668953689,69.25260170293282,100.0,60.47480216576426,62.96966953372567,65.4284299157999,37.89746917585983,67.88949275362319
pituitary,67.44186046511628,68.84531590413944,71.63879598662207,72.10526315789474,69.89703210175651,59.35181569699336,68.94343649946639,68.90149561629705,76.42857142857142,76.47420147420148,68.96325459317585,76.28408370323399,75.65511411665258,78.00429184549357,63.91162029459901,60.80617495711835,67.07663197729423,67.59776536312849,100.0,61.15889542779538,62.35760277365032,43.57560025957171,72.55434782608695
skin-not-sun-exposed,73.49918875067604,70.1525054466231,70.43478260869566,69.1812865497076,71.59297395517868,47.24716907458024,54.64247598719317,72.09902011346054,69.64285714285714,71.86732186732186,82.02099737532808,72.09892200380469,74.47168216398985,76.82403433476395,59.65630114566285,62.778730703259,66.41438032166509,64.75791433891993,56.268221574344025,100.0,96.97870232788509,36.372485399091495,62.77173913043478
skin-sun-exposed,70.52460789616009,66.01307189542483,67.02341137123746,65.6140350877193,69.29133858267717,44.00624755954705,51.28068303094984,69.15936049510056,66.01190476190476,67.997542997543,78.1496062992126,68.04058338617628,71.25950972104819,73.28326180257511,57.283142389525366,58.27615780445969,63.95458845789972,61.49906890130353,52.43648479800084,88.63739248528746,100.0,33.80921479558728,58.96739130434783
testis,54.24553812871823,54.13943355119826,57.79264214046823,56.90058479532164,55.42095699576014,47.0128855915658,54.802561366061894,55.13151108818979,59.285714285714285,60.01228501228502,58.46456692913385,61.31896005072923,61.200338123415044,64.69957081545064,53.35515548281505,49.44253859348199,57.71050141911069,54.37616387337057,55.93502707205331,50.746944318696244,51.609707776126804,100.0,57.15579710144928
thyroid,73.28285559762034,74.56427015250546,75.91973244147158,78.3625730994152,73.22834645669292,50.29285435376806,59.978655282817506,74.26508509541002,77.32142857142857,78.62407862407862,72.50656167979002,78.7571337983513,79.12087912087912,81.54506437768241,65.13911620294598,66.25214408233276,66.60359508041628,69.78584729981378,66.72219908371511,62.743322770484376,64.48736998514116,40.9474367293965,100.0
